bookURI/type,bookURI/value,bookName/type,bookName/xml:lang,bookName/value,authorName/type,authorName/xml:lang,authorName/value,authorMovement/type,authorMovement/xml:lang,authorMovement/value,bookGenre/type,bookGenre/xml:lang,bookGenre/value,bookAbstract/type,bookAbstract/xml:lang,bookAbstract/value
uri,http://dbpedia.org/resource/Year's_Best_SF_9,literal,en,Year's Best SF 9,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 9 (ISBN 0-06-057559-X) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2004.  It is the ninth in the Year's Best SF series.
uri,http://dbpedia.org/resource/Year's_Best_SF_14,literal,en,Year's Best SF 14,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 14 (ISBN 9780061721748) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2009.  It is the fourteenth in the Year's Best SF series.
uri,http://dbpedia.org/resource/Year's_Best_SF_13,literal,en,Year's Best SF 13,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 13 (ISBN 0061252093) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2008.  It is the thirteenth in the Year's Best SF series.
uri,http://dbpedia.org/resource/Year's_Best_SF_15,literal,en,Year's Best SF 15,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 15 (ISBN 9780061721755) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in June 2010.  It is the fifteenth in the Year's Best SF series.
uri,http://dbpedia.org/resource/Only_Begotten_Daughter,literal,en,Only Begotten Daughter,literal,en,James K. Morrow,literal,en,Transrealism (literature),literal,en,Fantasy literature,literal,en,"Only Begotten Daughter is a 1990 fantasy novel written by James Morrow, setting the stage for his later Godhead Trilogy. The book shared the 1991 World Fantasy Award with Ellen Kushner's Thomas the Rhymer. It was also nominated for the Nebula Award for Best Novel in 1990, and both the Locus and John W. Campbell Memorial Awards in 1991."
uri,http://dbpedia.org/resource/How_to_Be_Alone,literal,en,How to Be Alone,literal,en,Jonathan Franzen,literal,en,Social realism,literal,en,Essay,literal,en,How to Be Alone is a 2002 book collecting fourteen essays by American writer Jonathan Franzen.
uri,http://dbpedia.org/resource/Farther_Away_(book),literal,en,Farther Away (book),literal,en,Jonathan Franzen,literal,en,Social realism,literal,en,Essay,literal,en,Farther Away is a 2012 collection of essays by the American writer Jonathan Franzen.
uri,http://dbpedia.org/resource/Disturbing_the_Peace_(novel),literal,en,Disturbing the Peace (novel),literal,en,Richard Yates (novelist),literal,en,Realism (arts),literal,en,Novel,literal,en,"Disturbing the Peace is a novel by American writer Richard Yates. First published in 1975, Yates' fourth book concerns the crack-up and institutionalization of an alcoholic salesman. Semi-autobiographical, the novel was dismissed by critics as his weakest book."
uri,http://dbpedia.org/resource/A_Good_School,literal,en,A Good School,literal,en,Richard Yates (novelist),literal,en,Realism (arts),literal,en,Novel,literal,en,"A Good School is a novel by Richard Yates first published in 1978. It is set at a fictional Connecticut prep school in the early 1940s and relates the coming of age of a group of mainly WASP boys who at the same time prepare themselves, if half-heartedly, to go to war immediately after graduation. A Good School also delves into the complex private lives of some of the masters and their love-hate relationship to both their profession and the particular school they are teaching at."
uri,http://dbpedia.org/resource/Poison_(Kielland_novel),literal,en,Poison (Kielland novel),literal,en,Alexander Kielland,literal,en,Realism (arts),literal,en,Novel,literal,en,"Poison (original Norwegian title: Gift) is an 1883 novel by the Norwegian writer Alexander Kielland. The novel is the first in a trilogy including Fortuna (1884) and St. Hans Fest (1887).This famous novel is an attack on the Norwegian education system, particularly on the obsession with Latin. A schoolboy, Marius, is tormented throughout the first half of the novel by his scholastic inability, and during his final illness continues to murmur rote phrases, his last words being Mensa rotunda.The main character of the book is Marius's friend Abraham Løvdahl, the son of a respected professor. His mother Wenche is an idealist who struggles in vain to keep her son honest and upright; she takes her own life after falling pregnant to the businessman Michal Mordtmann.In Norwegian, gift can mean both ""poison"" and ""married,"" making the title of the novel ambiguous. However, the conventional interpretation is that the title means ""poison"", as the students are ""poisoned"" by rote learning of topics unrelated to real life and societal norms. In both cases, the etymology is the same, namely something that is ""given."" It is the same word as the English word ""gift"", adopted from Old Norse."
uri,http://dbpedia.org/resource/The_Easter_Parade,literal,en,The Easter Parade,literal,en,Richard Yates (novelist),literal,en,Realism (arts),literal,en,Novel,literal,en,"The Easter Parade is an English-language novel by American writer Richard Yates. First published in 1976, Yates' fifth book concerns the tragic lives of two sisters.  Some consider the book, along with Revolutionary Road, to be Yates' finest work."
uri,http://dbpedia.org/resource/Sartor_Resartus,literal,en,Sartor Resartus,literal,en,Thomas Carlyle,literal,en,Romanticism,literal,en,Comic novel,literal,en,"Sartor Resartus (meaning 'The tailor re-tailored') is an 1836 novel by Thomas Carlyle, first published as a serial in 1833–34 in Fraser's Magazine. The novel purports to be a commentary on the thought and early life of a German philosopher called Diogenes Teufelsdröckh (which translates as 'god-born devil-dung'), author of a tome entitled ""Clothes: their Origin and Influence"", but was actually a poioumenon. Teufelsdröckh's Transcendentalist musings are mulled over by a skeptical English Reviewer (referred to as Editor) who also provides fragmentary biographical material on the philosopher. The work is, in part, a parody of Hegel, and of German Idealism more generally. However, Teufelsdröckh is also a literary device with which Carlyle can express difficult truths."
uri,http://dbpedia.org/resource/Sartor_Resartus,literal,en,Sartor Resartus,literal,en,Thomas Carlyle,literal,en,Romanticism,literal,en,Sui generis,literal,en,"Sartor Resartus (meaning 'The tailor re-tailored') is an 1836 novel by Thomas Carlyle, first published as a serial in 1833–34 in Fraser's Magazine. The novel purports to be a commentary on the thought and early life of a German philosopher called Diogenes Teufelsdröckh (which translates as 'god-born devil-dung'), author of a tome entitled ""Clothes: their Origin and Influence"", but was actually a poioumenon. Teufelsdröckh's Transcendentalist musings are mulled over by a skeptical English Reviewer (referred to as Editor) who also provides fragmentary biographical material on the philosopher. The work is, in part, a parody of Hegel, and of German Idealism more generally. However, Teufelsdröckh is also a literary device with which Carlyle can express difficult truths."
uri,http://dbpedia.org/resource/The_Gum_Thief,literal,en,The Gum Thief,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Epistolary novel,literal,en,"The Gum Thief is Canadian author Douglas Coupland's twelfth novel. It was published on September 25, 2007 (2007-09-25), by Random House Canada in Canada and Bloomsbury Publishing in the United States.An epistolary novel, The Gum Thief is written as a collection of journal entries, notes, and letters written by various characters. Among these are regular installments of the characters in Roger's novella, titled Glove Pond.A special boxed edition was also released including a special hardback edition signed by Coupland, as well as a hardback copy of the Glove Pond novella by ""Roger Thorpe."" The jacket for Glove Pond features a pull-quote written by Douglas Coupland."
uri,http://dbpedia.org/resource/JPod,literal,en,JPod,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Epistolary novel,literal,en,"JPod  is a novel by Douglas Coupland published by Random House of Canada in 2006. Set in 2005, the book explores the strange and unconventional everyday life of the main character, Ethan Jarlewski, and his team of video game programmers whose last names all begin with the letter 'J'.JPod was adopted as a CBC television series co-written by Douglas Coupland. It premiered on January 8, 2008, and ran until its cancellation on March 7, 2008, leaving the series with a permanent cliffhanger. The first thirteen episodes of the series aired in the United States on The CW Television Network."
uri,http://dbpedia.org/resource/Microserfs,literal,en,Microserfs,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Epistolary novel,literal,en,"Microserfs, published by HarperCollins in 1995, is an epistolary novel by Douglas Coupland. It first appeared in short story form  as the cover article for the January 1994 issue of Wired magazine and was subsequently expanded to full novel length. Set in the early 1990s, it captures the state of the technology industry before Windows 95, and anticipates the dot-com bubble of the late 1990s.The novel is presented in the form of diary entries maintained on a PowerBook by the narrator, Daniel. Because of this, as well as its formatting and usage of emoticons, this novel is similar to what emerged a decade later as the blog format.Coupland revisited many of the ideas in Microserfs in his 2006 novel JPod, which has been labeled ""Microserfs for the Google generation""."
uri,http://dbpedia.org/resource/Hey_Nostradamus!,literal,en,Hey Nostradamus!,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Novel,literal,en,"Hey Nostradamus! is a novel by Douglas Coupland centred on a fictional 1988 school shooting in suburban Vancouver, British Columbia and its aftermath. This is Coupland's most critically acclaimed novel. It was first published by Random House of Canada in 2003. The novel comprises four first-person narratives, each from the perspective of a character directly or indirectly affected by the shooting. The novel intertwines substantial themes, including adolescent love, sex, religion, prayer and grief."
uri,http://dbpedia.org/resource/All_Families_Are_Psychotic,literal,en,All Families Are Psychotic,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Novel,literal,en,"All Families Are Psychotic is the seventh novel by Douglas Coupland, published in 2001. The novel is the fictional story of the dysfunctional Drummond family and their adventures on a trip to see their daughter's space shuttle launch."
uri,http://dbpedia.org/resource/Generation_X:_Tales_for_an_Accelerated_Culture,literal,en,Generation X: Tales for an Accelerated Culture,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Novel,literal,en,"Generation X: Tales for an Accelerated Culture, published by St. Martin's Press in 1991, is the first novel by Douglas Coupland.  The novel popularized the term Generation X, which refers to Americans who reached adulthood in the late 1970s. It is a framed narrative, in which a group of youths exchange heartfelt stories about themselves and fantastical stories of their creation.Coupland released the similarly titled Generation A in September 2009."
uri,http://dbpedia.org/resource/Girlfriend_in_a_Coma_(novel),literal,en,Girlfriend in a Coma (novel),literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Novel,literal,en,"Girlfriend in a Coma is a novel by Canadian writer and artist Douglas Coupland. It was first published by HarperCollins Canada in 1998. The novel tells the story of a group of friends growing up in Vancouver, British Columbia, Canada in the late 1970s. On the night of a teenage house-wrecking party, one of the protagonists, Karen, falls into a coma.  More alarmingly, she seemed to expect it, having given her boyfriend, Richard, a letter detailing the vivid dreams of the future she had experienced and how she wanted to sleep for a thousand years to avoid that dystopia.The book was named after the 1987 single ""Girlfriend in a Coma"" by The Smiths. Additionally, Coupland uses other Smiths lyrics and song titles within the book such as ""Bigmouth Strikes Again,"" ""Hand in Glove,"" and ""The Queen Is Dead."""
uri,http://dbpedia.org/resource/Shampoo_Planet,literal,en,Shampoo Planet,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Novel,literal,en,"Shampoo Planet is Douglas Coupland's second novel, published by Pocket Books in 1992.  It is a thematic followup to Coupland's first novel, Generation X: Tales for an Accelerated Culture. The novel deals with Tyler, a Global Teen, who shares many characteristics of the character Tyler from Generation X, the younger brother of Andy, Generation X's narrator. The novel tells the story of Tyler's life as he arrives home from Europe, and the fallout of this trip and beyond."
uri,http://dbpedia.org/resource/Eleanor_Rigby_(novel),literal,en,Eleanor Rigby (novel),literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Novel,literal,en,"Eleanor Rigby is a 2004 novel by Douglas Coupland, about a lonely woman at ages 36 and 42. The novel is written as a first-person narrative by the main character, Liz Dunn.The novel centres on changes to Liz's life when someone from her past unexpectedly re-enters her life.  It is written in a light, often comic, tone, but  resonates on many deeper issues, including loneliness, family, religious visions and multiple sclerosis."
uri,http://dbpedia.org/resource/Generation_A,literal,en,Generation A,literal,en,Douglas Coupland,literal,en,Postmodern literature,literal,en,Novel,literal,en,"Generation A is the thirteenth novel from Canadian novelist Douglas Coupland. It takes place in a near future, in a world in which bees have become extinct. The novel is told with a shifting-frame narrative perspective, shifting between the novel's five main protagonists. The novel mirrors the style of Coupland's first novel, Generation X: Tales for an Accelerated Culture, which is also a framed narrative. On September 30, 2009, Generation A was announced as a finalist for The Rogers Writers' Trust Fiction Prize by The Writer's Trust of Canada."
uri,http://dbpedia.org/resource/The_First_Garment,literal,en,The First Garment,literal,en,Guram Dochanashvili,literal,en,Modernism,literal,en,Adventure fiction,literal,en,"The First Garment is a novel by a Georgian writer Guram Dochanashvili which serves as a retelling of The Parable of the Lost Son from the Bible. The plot follows a young, inexperienced, adventure-seeking man named Domenico who is deeply affected by the appearance and stories of a mysterious refugee in his village, and thus decides to take his inheritance and leave the village to go on adventuring. Over the years, Domenico meets many different people and gets caught up in the War of Canudos."
uri,http://dbpedia.org/resource/Extraordinary_Canadians:_Marshall_McLuhan,literal,en,Extraordinary Canadians: Marshall McLuhan,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Biography,literal,en,"Marshall McLuhan  is a biography written by Canadian author Douglas Coupland as a part of Penguin Canada's Extraordinary Canadians series. It was published in March 2011 in the US by Atlas & Company under the title, ""Marshall McLuhan: You Know Nothing of my Work!""."
uri,http://dbpedia.org/resource/Generation_X:_Tales_for_an_Accelerated_Culture,literal,en,Generation X: Tales for an Accelerated Culture,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Postmodern literature,literal,en,"Generation X: Tales for an Accelerated Culture, published by St. Martin's Press in 1991, is the first novel by Douglas Coupland.  The novel popularized the term Generation X, which refers to Americans who reached adulthood in the late 1970s. It is a framed narrative, in which a group of youths exchange heartfelt stories about themselves and fantastical stories of their creation.Coupland released the similarly titled Generation A in September 2009."
uri,http://dbpedia.org/resource/Generation_A,literal,en,Generation A,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Postmodern literature,literal,en,"Generation A is the thirteenth novel from Canadian novelist Douglas Coupland. It takes place in a near future, in a world in which bees have become extinct. The novel is told with a shifting-frame narrative perspective, shifting between the novel's five main protagonists. The novel mirrors the style of Coupland's first novel, Generation X: Tales for an Accelerated Culture, which is also a framed narrative. On September 30, 2009, Generation A was announced as a finalist for The Rogers Writers' Trust Fiction Prize by The Writer's Trust of Canada."
uri,http://dbpedia.org/resource/Player_One,literal,en,Player One,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Fiction,literal,en,"For the band, see Space Invaders (Player One song).Player One: What Is to Become of Us is a novel written by Douglas Coupland for the 2010 Massey Lectures. Each of the book's five chapters was delivered as a one hour lecture in a different Canadian city: Vancouver on October 12, Regina on October 14, Charlottetown on October 19, Ottawa on October 25 and ending in Toronto on October 29. The lectures were broadcast on CBC Radio One's Ideas, November 8–12. The book was published by House of Anansi Press.The plot follows four characters, Karen, Rick, Luke, and Rachel, as they arrive in the lounge of an airport bar, as they interact with one another, and as they cope with chaos that erupts as cataclysmic events occur. The story addresses their motivations and perceptions, as well as their thoughts on certain themes. There are several minor characters and a fifth main character, Player One, who retells the events that the four main characters experience but from the perspective of an outside observer, like someone exploring a video game environment."
uri,http://dbpedia.org/resource/The_Gum_Thief,literal,en,The Gum Thief,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Epistolary novel,literal,en,"The Gum Thief is Canadian author Douglas Coupland's twelfth novel. It was published on September 25, 2007 (2007-09-25), by Random House Canada in Canada and Bloomsbury Publishing in the United States.An epistolary novel, The Gum Thief is written as a collection of journal entries, notes, and letters written by various characters. Among these are regular installments of the characters in Roger's novella, titled Glove Pond.A special boxed edition was also released including a special hardback edition signed by Coupland, as well as a hardback copy of the Glove Pond novella by ""Roger Thorpe."" The jacket for Glove Pond features a pull-quote written by Douglas Coupland."
uri,http://dbpedia.org/resource/JPod,literal,en,JPod,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Epistolary novel,literal,en,"JPod  is a novel by Douglas Coupland published by Random House of Canada in 2006. Set in 2005, the book explores the strange and unconventional everyday life of the main character, Ethan Jarlewski, and his team of video game programmers whose last names all begin with the letter 'J'.JPod was adopted as a CBC television series co-written by Douglas Coupland. It premiered on January 8, 2008, and ran until its cancellation on March 7, 2008, leaving the series with a permanent cliffhanger. The first thirteen episodes of the series aired in the United States on The CW Television Network."
uri,http://dbpedia.org/resource/Microserfs,literal,en,Microserfs,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Epistolary novel,literal,en,"Microserfs, published by HarperCollins in 1995, is an epistolary novel by Douglas Coupland. It first appeared in short story form  as the cover article for the January 1994 issue of Wired magazine and was subsequently expanded to full novel length. Set in the early 1990s, it captures the state of the technology industry before Windows 95, and anticipates the dot-com bubble of the late 1990s.The novel is presented in the form of diary entries maintained on a PowerBook by the narrator, Daniel. Because of this, as well as its formatting and usage of emoticons, this novel is similar to what emerged a decade later as the blog format.Coupland revisited many of the ideas in Microserfs in his 2006 novel JPod, which has been labeled ""Microserfs for the Google generation""."
uri,http://dbpedia.org/resource/JPod,literal,en,JPod,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Satire,literal,en,"JPod  is a novel by Douglas Coupland published by Random House of Canada in 2006. Set in 2005, the book explores the strange and unconventional everyday life of the main character, Ethan Jarlewski, and his team of video game programmers whose last names all begin with the letter 'J'.JPod was adopted as a CBC television series co-written by Douglas Coupland. It premiered on January 8, 2008, and ran until its cancellation on March 7, 2008, leaving the series with a permanent cliffhanger. The first thirteen episodes of the series aired in the United States on The CW Television Network."
uri,http://dbpedia.org/resource/Hey_Nostradamus!,literal,en,Hey Nostradamus!,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Novel,literal,en,"Hey Nostradamus! is a novel by Douglas Coupland centred on a fictional 1988 school shooting in suburban Vancouver, British Columbia and its aftermath. This is Coupland's most critically acclaimed novel. It was first published by Random House of Canada in 2003. The novel comprises four first-person narratives, each from the perspective of a character directly or indirectly affected by the shooting. The novel intertwines substantial themes, including adolescent love, sex, religion, prayer and grief."
uri,http://dbpedia.org/resource/All_Families_Are_Psychotic,literal,en,All Families Are Psychotic,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Novel,literal,en,"All Families Are Psychotic is the seventh novel by Douglas Coupland, published in 2001. The novel is the fictional story of the dysfunctional Drummond family and their adventures on a trip to see their daughter's space shuttle launch."
uri,http://dbpedia.org/resource/Generation_X:_Tales_for_an_Accelerated_Culture,literal,en,Generation X: Tales for an Accelerated Culture,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Novel,literal,en,"Generation X: Tales for an Accelerated Culture, published by St. Martin's Press in 1991, is the first novel by Douglas Coupland.  The novel popularized the term Generation X, which refers to Americans who reached adulthood in the late 1970s. It is a framed narrative, in which a group of youths exchange heartfelt stories about themselves and fantastical stories of their creation.Coupland released the similarly titled Generation A in September 2009."
uri,http://dbpedia.org/resource/Girlfriend_in_a_Coma_(novel),literal,en,Girlfriend in a Coma (novel),literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Novel,literal,en,"Girlfriend in a Coma is a novel by Canadian writer and artist Douglas Coupland. It was first published by HarperCollins Canada in 1998. The novel tells the story of a group of friends growing up in Vancouver, British Columbia, Canada in the late 1970s. On the night of a teenage house-wrecking party, one of the protagonists, Karen, falls into a coma.  More alarmingly, she seemed to expect it, having given her boyfriend, Richard, a letter detailing the vivid dreams of the future she had experienced and how she wanted to sleep for a thousand years to avoid that dystopia.The book was named after the 1987 single ""Girlfriend in a Coma"" by The Smiths. Additionally, Coupland uses other Smiths lyrics and song titles within the book such as ""Bigmouth Strikes Again,"" ""Hand in Glove,"" and ""The Queen Is Dead."""
uri,http://dbpedia.org/resource/Shampoo_Planet,literal,en,Shampoo Planet,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Novel,literal,en,"Shampoo Planet is Douglas Coupland's second novel, published by Pocket Books in 1992.  It is a thematic followup to Coupland's first novel, Generation X: Tales for an Accelerated Culture. The novel deals with Tyler, a Global Teen, who shares many characteristics of the character Tyler from Generation X, the younger brother of Andy, Generation X's narrator. The novel tells the story of Tyler's life as he arrives home from Europe, and the fallout of this trip and beyond."
uri,http://dbpedia.org/resource/Eleanor_Rigby_(novel),literal,en,Eleanor Rigby (novel),literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Novel,literal,en,"Eleanor Rigby is a 2004 novel by Douglas Coupland, about a lonely woman at ages 36 and 42. The novel is written as a first-person narrative by the main character, Liz Dunn.The novel centres on changes to Liz's life when someone from her past unexpectedly re-enters her life.  It is written in a light, often comic, tone, but  resonates on many deeper issues, including loneliness, family, religious visions and multiple sclerosis."
uri,http://dbpedia.org/resource/Generation_A,literal,en,Generation A,literal,en,Douglas Coupland,literal,en,Literary modernism,literal,en,Novel,literal,en,"Generation A is the thirteenth novel from Canadian novelist Douglas Coupland. It takes place in a near future, in a world in which bees have become extinct. The novel is told with a shifting-frame narrative perspective, shifting between the novel's five main protagonists. The novel mirrors the style of Coupland's first novel, Generation X: Tales for an Accelerated Culture, which is also a framed narrative. On September 30, 2009, Generation A was announced as a finalist for The Rogers Writers' Trust Fiction Prize by The Writer's Trust of Canada."
uri,http://dbpedia.org/resource/The_Scoop_and_Behind_the_Screen,literal,en,The Scoop and Behind the Screen,literal,en,Dorothy L. Sayers,literal,en,Golden Age of Detective Fiction,literal,en,Crime fiction,literal,en,"The Scoop & Behind The Screen are both collaborative detective serials written by members of the Detection Club which were broadcast weekly by their authors on the BBC National Programme in 1930 and 1931 with the scripts then being published in The Listener within a week after broadcast. The two serials were first published in book form in the UK by Victor Gollancz Ltd in 1983 and in the US by Harper & Row in 1984. The UK edition retailed at £6.95.Julian Symons, then President of the club [1983], explains in his introduction:  ""...The present volume... was written to provide funds so that club premises might be acquired.  Other books with the same purpose, also the product of several hands, were The Floating Admiral (1931), ... Ask A Policeman (1933), ... and ... Verdict of Thirteen. ..."""
